sampleid	sample_name_2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	log10(reads_per_file)_full	log10(reads_per_file)	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	SampleID_2	Qiita_studyID
emu.4	13881.SAMEA6809587	13881.0	Dromaius-novaehollandiae_SAMEA6809587.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	10119132.0	6222602.0	6.7939720239999986	7.0	Chordata	Aves	Dromaiidae	Dromaius	Metazoa	Casuariiformes	Dromaius_novaehollandiae	Dromaius_novaehollandiae	Dromaius_novaehollandiae	emu			omnivore	Austria		feces	carnivore	carnivore	captive	Dromaius-novaehollandiae_SAMEA6809587.ebi_filtered_r1r2interleaved_sampleCombined	study13881
lesser_hedgehog_tenrec.1	13114.song.51.s014	13114.0	Echinops-telfairi_Song51_24758_host_filtered_r1r2combined.fastq.gz	19835732.0	19831638.0	7.297358586	7.0	Chordata	Mammalia	Tenrecomorpha	Echinops	Metazoa	Afrosoricida	Echinops_telfairi	Echinops_telfairi	Echinops_telfairi	Lesser_hedgehog_tenrec	flightless	terrestrial,flightless	insectivore	USA			insectivore	carnivore	captive	Echinops-telfairi_Song51_24758_filtered_r1r2interleaved	study13114
garden_dormouse.1	13881.SAMEA6809448	13881.0	Eliomys-quercinus_SAMEA6809448.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1945038.0	1930684.0	6.285711198	6.0	Chordata	Mammalia	Gliridae	Eliomys	Metazoa	Rodentia	Eliomys_quercinus	Muscardinus_avellanarius	Eliomys_quercinus	garden_dormouse			omnivore	Austria		feces	omnivore	omnivore	captive	Eliomys-quercinus_SAMEA6809448.ebi_filtered_r1r2interleaved_sampleCombined	study13881
galah.1	13881.SAMEA6809487	13881.0	Eolophus-roseicapillus_SAMEA6809487.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	6372020.0	1031198.0	6.013342062	6.0	Chordata	Aves	Cacatuidae	Eolophus	Metazoa	Psittaciformes	Eolophus_roseicapilla	Eolophus_roseicapilla	Eolophus_roseicapillus	galah			omnivore	Australia		feces	herbivore	herbivore	wild	Eolophus-roseicapillus_SAMEA6809487.ebi_filtered_r1r2interleaved_sampleCombined	study13881
large_forest_bat.1	13881.SAMEA6809479	13881.0	Eptesicus-sagittula_SAMEA6809479.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2064694.0	2064454.0	6.31480521	6.0	Chordata	Mammalia	Vespertilionidae	Eptesicus	Metazoa	Chiroptera	Eptesicus_sagittula	Eptesicus_fuscus	Eptesicus_sagittula	large_forest_bat			carnivore	Australia		feces	insectivore	carnivore	wild	Eptesicus-sagittula_SAMEA6809479.ebi_filtered_r1r2interleaved_sampleCombined	study13881
zebra.1	13114.song.51.s017	13114.0	Equus-burchellii_Song51_25122_host_filtered_r1r2combined.fastq.gz	4643600.0	4643292.0	6.666825996	7.0	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Equus_burchellii	Equus_ferus_przewalskii	Equus_burchellii	Zebra	flightless	terrestrial,flightless	herbivore	USA			herbivore	herbivore	captive	Equus-burchellii_Song51_25122_filtered_r1r2interleaved	study13114
quagga.1	13881.SAMEA6809586	13881.0	Equus-burchellii_SAMEA6809586.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	14705620.0	14694196.0	7.167145828	7.0	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Equus_burchellii_quagga	Equus_asinus	Equus_burchellii	Quagga			herbivore	Tanzania		feces	herbivore	herbivore	wild	Equus-burchellii_SAMEA6809586.ebi_filtered_r1r2interleaved_sampleCombined	study13881
horse.1	13881.SAMEA6809356	13881.0	Equus-caballus_SAMEA6809356.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	16273264.0	16272944.0	7.21146613	7.0	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Equus_caballus	Equus_caballus	Equus_caballus	horse			herbivore	Austria		feces	herbivore	omnivore	captive	Equus-caballus_SAMEA6809356.ebi_filtered_r1r2interleaved_sampleCombined	study13881
przewalski_horse.1	13114.song.51.s008	13114.0	Equus-ferus_Song51_24711_host_filtered_r1r2combined.fastq.gz	21231990.0	21231290.0	7.326976382000001	7.0	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Equus_ferus_przewalskii	Equus_ferus_przewalskii	Equus_przewalskii	Przewalski_horse	flightless	terrestrial,flightless	herbivore	USA			herbivore	herbivore	captive	Equus-ferus_Song51_24711_filtered_r1r2interleaved	study13114
onager.1	13881.SAMEA6809357	13881.0	Equus-hemionus_SAMEA6809357.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1894502.0	1894204.0	6.277426749	6.0	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Equus_hemionus	Equus_asinus	Equus_hemionus	onager			herbivore	Iran		feces	herbivore	herbivore	wild	Equus-hemionus_SAMEA6809357.ebi_filtered_r1r2interleaved_sampleCombined	study13881
kulan.1	13881.SAMEA6809549	13881.0	Equus-hemionus_SAMEA6809549.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	3481446.0	3480138.0	6.5415964660000006	7.0	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Equus_hemionus_kulan	Equus_asinus	Equus_hemionus	kulan			herbivore	Mongolia		feces	herbivore	herbivore	wild	Equus-hemionus_SAMEA6809549.ebi_filtered_r1r2interleaved_sampleCombined	study13881
przewalski_horse.2	13881.SAMEA6809560	13881.0	Equus-przewalskii_SAMEA6809560.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	10845814.0	10845150.0	7.035235563	7.0	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Equus_przewalskii	Equus_przewalskii	Equus_przewalskii	Przewalski_horse			herbivore	Mongolia		feces	herbivore	herbivore	wild	Equus-przewalskii_SAMEA6809560.ebi_filtered_r1r2interleaved_sampleCombined	study13881
western_european_hedgehog.1	13881.SAMEA6809365	13881.0	Erinaceus-europaeus_SAMEA6809365.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	3562024.0	3558508.0	6.551267947	7.0	Chordata	Mammalia	Erinaceidae	Erinaceus	Metazoa	Eulipotyphla	Erinaceus_europaeus	Erinaceus_europaeus	Erinaceus_europaeus	western_European_hedgehog			carnivore	Hungary		feces	omnivore	omnivore	wild	Erinaceus-europaeus_SAMEA6809365.ebi_filtered_r1r2interleaved_sampleCombined	study13881
northern_pike.1	13881.SAMEA6809640	13881.0	Esox-lucius_SAMEA6809640.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2801454.0	2800904.0	6.447298224	6.0	Chordata	Actinopterygii	Esocidae	Esox	Metazoa	Esociformes	Esox_lucius	Esox_lucius	Esox_lucius	northern_pike			carnivore	Austria		feces	carnivore	carnivore	wild	Esox-lucius_SAMEA6809640.ebi_filtered_r1r2interleaved_sampleCombined	study13881
north_atlantic_right_whale.1	13114.girguis.50.s009	13114.0	Eubalaena-glacialis_Girguis50_RightEG3_host_filtered_r1r2combined.fastq.gz	21900760.0	21888734.0	7.340220643999999	7.0	Chordata	Mammalia	Balaenidae	Eubalaena	Metazoa	Artiodactyla	Eubalaena_glacialis	Eubalaena_japonica	Eubalaena_glacialis	North_Atlantic_Right_Whale	flightless	marine	carnivore	Canada			filter_feeder	carnivore	wild	Eubalaena-glacialis_Girguis50_RightEG3_filtered_r1r2interleaved	study13114
elegant_crested_tinamou.1	11166.FD.0441.tinamou	11166.0	Eudromia-elegans_S_S_Temp_D710-AK1682_filtered_r1r2combined.fastq.gz	32487128.0	32448674.0	7.511196954	8.0	Chordata	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Eudromia_elegans	Eudromia_elegans	Eudromia_elegans	elegant_crested_tinamou	flighted			France			omnivore	omnivore	captive	Eudromia-elegans_S_S_Temp_D710-AK1682_filtered_r1r2interleaved	study11166
red-bellied_lemur.3	11212.ERUB.10M	11212.0	Eulemur-rubriventer_ERUB_10M_ATCACG_L003_001_filtered_r1r2combined.fastq.gz	8100302.0	8068376.0	6.9067861289999986	7.0	Chordata	Mammalia	Lemuridae	Eulemur	Metazoa	Primates	Eulemur_rubriventer	Eulemur_fulvus_	Eulemur_rubriventer	red-bellied_lemur	flightless			Madagascar	Rainforest	stool	frugivore	herbivore	wild	Eulemur-rubriventer_ERUB_10M_ATCACG_L003_001_filtered_r1r2interleaved	study11212
green_anaconda.1	13114.song.52.s007	13114.0	Eunectes-murinus_Song52_25041_host_filtered_r1r2combined.fastq.gz	25614442.0	24956634.0	7.39718601	7.0	Chordata	Reptilia	Boidae	Eunectes	Metazoa	Squamata	Eunectes_murinus	Python_bivittatus	Eunectes_murinus	Green_anaconda	flightless	terrestrial,flightless	carnivore	USA			carnivore	carnivore	captive	Eunectes-murinus_Song52_25041_filtered_r1r2interleaved	study13114
lanner_falcon.1	11166.ATL.24548.falcon	11166.0	Falco-biarmicus_S_S_Temp_D707-AK1681_filtered_r1r2combined.fastq.gz	67337394.0	67185548.0	7.827275864	8.0	Chordata	Aves	Falconidae	Falco	Metazoa	Falconiformes	Falco_biarmicus	Falco_tinnunculus	Falco_biarmicus	Lanner_falcon	flighted			USA			carnivore	carnivore	captive	Falco-biarmicus_S_S_Temp_D707-AK1681_filtered_r1r2interleaved	study11166
common_kestrel.1	13881.SAMEA6809367	13881.0	Falco-tinnunculus_SAMEA6809367.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	11377720.0	2518878.0	6.401207133	6.0	Chordata	Aves	Falconidae	Falco	Metazoa	Falconiformes	Falco_tinnunculus	Falco_tinnunculus	Falco_tinnunculus	common_kestrel			carnivore	Hungary		gut	carnivore	carnivore	wild	Falco-tinnunculus_SAMEA6809367.ebi_filtered_r1r2interleaved_sampleCombined	study13881
domestic_cat.1	13881.SAMEA6809421	13881.0	Felis-catus_SAMEA6809421.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2329112.0	2328798.0	6.367131819	6.0	Chordata	Mammalia	Felidae	Felis	Metazoa	Carnivora	Felis_catus	Felis_catus	Felis_catus	domestic_cat			carnivore	Austria		feces	carnivore	carnivore	captive	Felis-catus_SAMEA6809421.ebi_filtered_r1r2interleaved_sampleCombined	study13881
sand_cat.1	13114.song.51.s010	13114.0	Felis-margarita_Song51_24733_host_filtered_r1r2combined.fastq.gz	19930946.0	18749122.0	7.272980935	7.0	Chordata	Mammalia	Felidae	Felis	Metazoa	Carnivora	Felis_margarita	Felis_margarita	Felis_margarita	Sand_cat	flightless	terrestrial,flightless	carnivore	USA			carnivore	carnivore	captive	Felis-margarita_Song51_24733_filtered_r1r2interleaved	study13114
chicken.1	13114.minich.76.s001	13114.0	Gallus-gallus_Minich76_BM_host_filtered_r1r2combined.fastq.gz	25318810.0	25317600.0	7.403422534	7.0	Chordata	Aves	Phasianidae	Gallus	Metazoa	Galliformes	Gallus_gallus	Gallus_gallus	Gallus_gallus	chicken	flightless	terrestrial,flightless	omnivore	Malawi			insectivore	carnivore	captive	Gallus-gallus_Minich76_BM_filtered_r1r2interleaved	study13114
chinkara.1	13881.SAMEA6809614	13881.0	Gazella-bennettii_SAMEA6809614.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2064724.0	2064676.0	6.31485191	6.0	Chordata	Mammalia	Bovidae	Gazella	Metazoa	Artiodactyla	Gazella_bennettii	Nanger_granti	Gazella_bennettii	chinkara			herbivore	Iran		feces	herbivore	herbivore	wild	Gazella-bennettii_SAMEA6809614.ebi_filtered_r1r2interleaved_sampleCombined	study13881
goitered_gazelle.1	13881.SAMEA6809591	13881.0	Gazella-subgutturosa_SAMEA6809591.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	6241208.0	6226826.0	6.79426673	7.0	Chordata	Mammalia	Bovidae	Gazella	Metazoa	Artiodactyla	Gazella_subgutturosa	Nanger_granti	Gazella_subgutturosa	goitered_gazelle			herbivore	Mongolia		feces	herbivore	herbivore	wild	Gazella-subgutturosa_SAMEA6809591.ebi_filtered_r1r2interleaved_sampleCombined	study13881
radiated_tortoise.1	13114.song.52.s004	13114.0	Geochelone-radiata_Song52_24663_host_filtered_r1r2combined.fastq.gz	7057180.0	7055388.0	6.848520902000001	7.0	Chordata	Reptilia	Testudinidae	Geochelone	Metazoa	Testudines	Geochelone_radiata	Chelonoidis_abingdonii	Astrochelys_radiata	Radiated_tortoise	flightless	terrestrial,flightless	herbivore	USA			herbivore	herbivore	captive	Geochelone-radiata_Song52_24663_filtered_r1r2interleaved	study13114
genovesa_ground_finch.1	11166.UM.24892.finch	11166.0	Geospiza-acutirostris_S_S_Temp_D712-AK1780_filtered_r1r2combined.fastq.gz	1682712.0	1638662.0	6.214489382999999	6.0	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza_acutirostris	Geospiza_fortis		Genovesa_ground_finch	flighted			Ecuador			insectivore_granivore	omnivore	wild	Geospiza-acutirostris_S_S_Temp_D712-AK1780_filtered_r1r2interleaved	study11166
vampire_finch.1	11166.UM.24872.vfinch	11166.0	Geospiza-septentrionalis_S_S_Temp_D710-AK1546_filtered_r1r2combined.fastq.gz	3406552.0	3175442.0	6.501804185	7.0	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza_difficilis	Geospiza_fortis	Geospiza_difficilis	vampire_finch	flighted			Ecuador			sanguivore	carnivore	wild	Geospiza-septentrionalis_S_S_Temp_D710-AK1546_filtered_r1r2interleaved	study11166
giraffe.5	13881.SAMEA6809592	13881.0	Giraffa-camelopardalis_SAMEA6809592.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	24445292.0	24429312.0	7.387911236	7.0	Chordata	Mammalia	Giraffidae	Giraffa	Metazoa	Artiodactyla	Giraffa_camelopardalis	Giraffa_camelopardalis	Giraffa_camelopardalis	giraffe			herbivore	Austria		feces	herbivore	herbivore	captive	Giraffa-camelopardalis_SAMEA6809592.ebi_filtered_r1r2interleaved_sampleCombined	study13881
giraffe.1	13114.song.51.s001	13114.0	Giraffa-camelopardalis_Song51_24059_host_filtered_r1r2combined.fastq.gz	91582.0	91442.0	4.961145716	5.0	Chordata	Mammalia	Giraffidae	Giraffa	Metazoa	Artiodactyla	Giraffa_camelopardalis_reticulata	Giraffa_camelopardalis_reticulata	Giraffa_camelopardalis	Giraffe	flightless	terrestrial,flightless	herbivore	USA			herbivore	herbivore	captive	Giraffa-camelopardalis_Song51_24059_filtered_r1r2interleaved	study13114
fat_dormouse.1	13881.SAMEA6809403	13881.0	Glis-glis_SAMEA6809403.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	12809344.0	3243038.0	6.510952037999999	7.0	Chordata	Mammalia	Gliridae	Glis	Metazoa	Rodentia	Glis_glis	Glis_glis	Glis_glis	Fat_dormouse			omnivore	Austria		feces	herbivore	herbivore	captive	Glis-glis_SAMEA6809403.ebi_filtered_r1r2interleaved_sampleCombined	study13881
western_longtongued_bat.1	11166.vbat.K1.colon.bat	11166.0	Glossophaga-morenoi_S_S_Temp_D708-AK1546_filtered_r1r2combined.fastq.gz	17065472.0	2269874.0	6.35600175	6.0	Chordata	Mammalia	Phyllostomidae	Glossophaga	Metazoa	Chiroptera	Glossophaga_morenoi	Anoura_caudifer	Glossophaga_morenoi	western_longtongued_bat	flighted			Mexico			insectivore_frugivore_nectarivore	omnivore	wild	Glossophaga-morenoi_S_S_Temp_D708-AK1546_filtered_r1r2interleaved	study11166
western_gorilla.4	11212.Gor12	11212.0	Gorilla-gorilla_Gor12_ACAGTG_L003_001_filtered_r1r2combined.fastq.gz	10565586.0	10171686.0	7.007392945	7.0	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Gorilla_gorilla	Gorilla_gorilla	Gorilla_gorilla	western_gorilla	flightless		Folivore	CAR	Rainforest	stool	herbivore	herbivore	wild	Gorilla-gorilla_Gor12_ACAGTG_L003_001_filtered_r1r2interleaved	study11212
western_gorilla.1	13114.song.51.s016	13114.0	Gorilla-gorilla_Song51_25120_host_filtered_r1r2combined.fastq.gz	24833602.0	24828210.0	7.39494541	7.0	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Gorilla_gorilla_gorilla	Gorilla_gorilla_gorilla	Gorilla_gorilla	Western_gorilla	flightless	terrestrial,flightless	herbivore	USA			herbivore	herbivore	captive	Gorilla-gorilla_Song51_25120_filtered_r1r2interleaved	study13114
whooping_crane.1	13114.song.53.s014	13114.0	Grus-americana_Song53_25014_host_filtered_r1r2combined.fastq.gz	32197904.0	25151286.0	7.400560196	7.0	Chordata	Aves	Gruidae	Grus	Metazoa	Gruiformes	Grus_americana	Grus_americana	Grus_americana	Whooping_crane	flighted	terrestrial,flight	omnivore	USA			carnivore_omnivore	omnivore	captive	Grus-americana_Song53_25014_filtered_r1r2interleaved	study13114
ruffe.1	13881.SAMEA6809619	13881.0	Gymnocephalus-cernua_SAMEA6809619.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2719474.0	2698272.0	6.431085727	6.0	Chordata	Actinopterygii	Percidae	Gymnocephalus	Metazoa	Perciformes	Gymnocephalus_cernua	Perca_fluviatilis	Gymnocephalus_cernua	ruffe			carnivore	Austria		feces	insectivore	carnivore	wild	Gymnocephalus-cernua_SAMEA6809619.ebi_filtered_r1r2interleaved_sampleCombined	study13881
white-tailed_eagle.1	13881.SAMEA6809398	13881.0	Haliaeetus-albicilla_SAMEA6809398.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	16990746.0	2708904.0	6.432793614	6.0	Chordata	Aves	Accipitridae	Haliaeetus	Metazoa	Accipitriformes	Haliaeetus_albicilla	Haliaeetus_albicilla	Haliaeetus_albicilla	white-tailed_eagle			carnivore	Austria		gut	scavenger	carnivore	wild	Haliaeetus-albicilla_SAMEA6809398.ebi_filtered_r1r2interleaved_sampleCombined	study13881
bald_eagle.1	11166.ATL.24483.eagle	11166.0	Haliaeetus-leucocephalus_S_S_Temp_D707-AK1543_filtered_r1r2combined.fastq.gz	20895600.0	20223650.0	7.305859541	7.0	Chordata	Aves	Accipitridae	Haliaeetus	Metazoa	Falconiformes	Haliaeetus_leucocephalus	Haliaeetus_leucocephalus	Haliaeetus_leucocephalus	Bald_eagle	flighted			USA			scavenger	carnivore	captive	Haliaeetus-leucocephalus_S_S_Temp_D707-AK1543_filtered_r1r2interleaved	study11166
