sampleid	sample_name_2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	log10(reads_per_file)_full	log10(reads_per_file)	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	SampleID_2	Qiita_studyID
tome's_spiny-rat.1	13881.SAMEA6809538	13881	Proechimys-semispinosus_SAMEA6809538.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	8202270	6373404	6.804371449	7	Chordata	Mammalia	Echimyidae	Proechimys	Metazoa	Rodentia	Proechimys_semispinosus	Myocastor_coypus	Proechimys_guairae	Tome's_spiny-rat			herbivore	CostaRica		gut	omnivore	omnivore	wild	Proechimys-semispinosus_SAMEA6809538.ebi_filtered_r1r2interleaved_sampleCombined	study13881
white_sifaka.3	11212.PVPam	11212	Pan-troglodytes_PVPam_CGTACG_L004_001_filtered_r1r2combined.fastq.gz	9731818	9729944	6.9881103410000005	7	Chordata	Mammalia	Indriidae	Propithecus	Metazoa	Primates	Propithecus_verreauxi	Propithecus_coquereli	Propithecus_verreauxi	white_sifaka	flightless		Folivore	Madagascar	DryForest	stool	folivore	herbivore	wild	Pan-troglodytes_PVPam_CGTACG_L004_001_filtered_r1r2interleaved	study11212
dunnock.1	13881.SAMEA6809627	13881	Prunella-modularis_SAMEA6809627.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	7895834	7608288	6.881286944	7	Chordata	Aves	Passeridae	Prunella	Metazoa	Passeriformes	Prunella_modularis	Prunella_fulvescens	Prunella_modularis	Dunnock			omnivore	Austria		feces	omnivore	omnivore	wild	Prunella-modularis_SAMEA6809627.ebi_filtered_r1r2interleaved_sampleCombined	study13881
fat_sand_rat.1	13881.SAMEA6809550	13881	Psammomys-obesus_SAMEA6809550.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2091634	2091376	6.32043212	6	Chordata	Mammalia	Muridae	Psammomys	Metazoa	Rodentia	Psammomys_obesus	Psammomys_obesus	Psammomys_obesus	fat_sand_rat			herbivore	Austria		feces	herbivore	herbivore	captive	Psammomys-obesus_SAMEA6809550.ebi_filtered_r1r2interleaved_sampleCombined	study13881
siberian_flying_squirrel.3	11166.AR.M43.flyingsquirrel	11166	Pteromys-volans_S_S_Temp_D703-AK1544_filtered_r1r2combined.fastq.gz	108681610	107981904	8.033350981	8	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Pteromys_volans	Sciurus_vulgaris	Pteromys_volans	Siberian_flying_squirrel	flightless			Finland			herbivore	herbivore	wild	Pteromys-volans_S_S_Temp_D703-AK1544_filtered_r1r2interleaved	study11166
giant_otter.1	13114.song.75.s001	13114	Pteronura-brasiliensis_Song75_24084_host_filtered_r1r2combined.fastq.gz	74912	74786	4.873820305	5	Chordata	Mammalia	Mustelidae	Pteronura	Metazoa	Carnivora	Pteronura_brasiliensis	Pteronura_brasiliensis	Pteronura_brasiliensis	Giant_otter	flightless	terrestrial,flightless	carnivore	USA			carnivore	carnivore	captive	Pteronura-brasiliensis_Song75_24084_filtered_r1r2interleaved	study13114
red_shanked_douc_langur.1	13881.SAMEA6809445	13881	Pygathrix-nemaeus_SAMEA6809445.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2167198	2167126	6.335884162999999	6	Chordata	Mammalia	Cercopithecidae	Pygathrix	Metazoa	Primates	Pygathrix_nemaeus	Pygathrix_nemaeus	Pygathrix_nemaeus	Red_shanked_douc_langur			herbivore	VietNam		feces	folivore	herbivore	wild	Pygathrix-nemaeus_SAMEA6809445.ebi_filtered_r1r2interleaved_sampleCombined	study13881
spider_tortoise.1	13114.song.52.s006	13114	Pyxis-arachnoides_Song52_25039_host_filtered_r1r2combined.fastq.gz	19809230	19726834	7.29505739	7	Chordata	Reptilia	Testudinidae	Pyxis	Metazoa	Testudines	Pyxis_arachnoides	Chelonoidis_abingdonii	Pyxis_arachnoides	Spider_tortoise	flightless	terrestrial,flightless	herbivore	USA			omnivore	omnivore	captive	Pyxis-arachnoides_Song52_25039_filtered_r1r2interleaved	study13114
water_rail.1	13881.SAMEA6809626	13881	Rallus-aquaticus_SAMEA6809626.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1462000	1461658	6.164845767999999	6	Chordata	Aves	Rallidae	Rallus	Metazoa	Gruiformes	Rallus_aquaticus	Gallirallus_okinawae	Rallus_aquaticus	Water_Rail			omnivore	Austria		feces	omnivore	omnivore	wild	Rallus-aquaticus_SAMEA6809626.ebi_filtered_r1r2interleaved_sampleCombined	study13881
agile_frog.1	13881.SAMEA6809420	13881	Rana-dalmatina_SAMEA6809420.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	5853498	2831584	6.45202945	6	Chordata	Amphibia	Ranidae	Rana	Metazoa	Anura	Rana_dalmatina	Rana_temporaria	Rana_dalmatina	agile_frog			carnivore	Austria		feces	insectivore	carnivore	wild	Rana-dalmatina_SAMEA6809420.ebi_filtered_r1r2interleaved_sampleCombined	study13881
