sampleid	sample_name_2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	log10(reads_per_file)_full	log10(reads_per_file)	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	SampleID_2
ring-tailed_lemur.1	11212.Lc259	11212	Lemur-catta_Lc259_ACTTGA_L003_001_filtered_r1r2combined.fastq.gz	16381340	16380374	7.214323812999999	7	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur_catta	Lemur_catta	Lemur_catta	ring-tailed_lemur	flightless			Madagascar	DryForest	stool	omnivore	omnivore	wild	Lemur-catta_Lc259_ACTTGA_L003_001_filtered_r1r2interleaved
ring-tailed_lemur.2	11212.Lc301	11212	Lemur-catta_Lc301_GATCAG_L003_001_filtered_r1r2combined.fastq.gz	32132048	32128274	7.506887395	8	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur_catta	Lemur_catta	Lemur_catta	ring-tailed_lemur	flightless			Madagascar	DryForest	stool	omnivore	omnivore	wild	Lemur-catta_Lc301_GATCAG_L003_001_filtered_r1r2interleaved
ring-tailed_lemur.3	11212.Lc307	11212	Lemur-catta_Lc307_TAGCTT_L003_001_filtered_r1r2combined.fastq.gz	9178682	9150676	6.961453177999999	7	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur_catta	Lemur_catta	Lemur_catta	ring-tailed_lemur	flightless			Madagascar	DryForest	stool	omnivore	omnivore	wild	Lemur-catta_Lc307_TAGCTT_L003_001_filtered_r1r2interleaved
ring-tailed_lemur.4	11212.Lc308	11212	Lemur-catta_Lc308_GGCTAC_L003_001_filtered_r1r2combined.fastq.gz	13573532	13550662	7.131960512999999	7	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur_catta	Lemur_catta	Lemur_catta	ring-tailed_lemur	flightless			Madagascar	DryForest	stool	omnivore	omnivore	wild	Lemur-catta_Lc308_GGCTAC_L003_001_filtered_r1r2interleaved
ring-tailed_lemur.5	11212.Lc310	11212	Lemur-catta_Lc310_CTTGTA_L003_001_filtered_r1r2combined.fastq.gz	11384086	11349578	7.054979714	7	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur_catta	Lemur_catta	Lemur_catta	ring-tailed_lemur	flightless			Madagascar	DryForest	stool	omnivore	omnivore	wild	Lemur-catta_Lc310_CTTGTA_L003_001_filtered_r1r2interleaved
western_gorilla.2	11212.Gor1	11212	Gorilla-gorilla_Gor1_TTAGGC_L003_001_filtered_r1r2combined.fastq.gz	10609808	10295366	7.01264179	7	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Gorilla_gorilla	Gorilla_gorilla	Gorilla_gorilla	western_gorilla	flightless		Folivore	CAR	Rainforest	stool	herbivore	herbivore	wild	Gorilla-gorilla_Gor1_TTAGGC_L003_001_filtered_r1r2interleaved
western_gorilla.3	11212.Gor11	11212	Gorilla-gorilla_Gor11_TGACCA_L003_001_filtered_r1r2combined.fastq.gz	10501528	10452718	7.019229234	7	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Gorilla_gorilla	Gorilla_gorilla	Gorilla_gorilla	western_gorilla	flightless		Folivore	CAR	Rainforest	stool	herbivore	herbivore	wild	Gorilla-gorilla_Gor11_TGACCA_L003_001_filtered_r1r2interleaved
western_gorilla.4	11212.Gor12	11212	Gorilla-gorilla_Gor12_ACAGTG_L003_001_filtered_r1r2combined.fastq.gz	10565586	10171686	7.007392945	7	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Gorilla_gorilla	Gorilla_gorilla	Gorilla_gorilla	western_gorilla	flightless		Folivore	CAR	Rainforest	stool	herbivore	herbivore	wild	Gorilla-gorilla_Gor12_ACAGTG_L003_001_filtered_r1r2interleaved
western_gorilla.5	11212.Gor2	11212	Gorilla-gorilla_Gor2_GCCAAT_L003_001_filtered_r1r2combined.fastq.gz	9000572	8860636	6.9474648960000005	7	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Gorilla_gorilla	Gorilla_gorilla	Gorilla_gorilla	western_gorilla	flightless		Folivore	CAR	Rainforest	stool	herbivore	herbivore	wild	Gorilla-gorilla_Gor2_GCCAAT_L003_001_filtered_r1r2interleaved
western_gorilla.6	11212.Gor3	11212	Gorilla-gorilla_Gor3_CAGATC_L003_001_filtered_r1r2combined.fastq.gz	20035458	18079662	7.257190307	7	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Gorilla_gorilla	Gorilla_gorilla	Gorilla_gorilla	western_gorilla	flightless		Folivore	CAR	Rainforest	stool	herbivore	herbivore	wild	Gorilla-gorilla_Gor3_CAGATC_L003_001_filtered_r1r2interleaved
western_red_colobus.1	11212.RC2036	11212	Piliocolobus-badius_RC2036_ACTGAT_L003_001_filtered_r1r2combined.fastq.gz	24412496	24397462	7.38734465	7	Chordata	Mammalia	Cercopithecidae	Piliocolobus	Metazoa	Primates	Piliocolobus_badius	Piliocolobus_tephrosceles	Piliocolobus_badius	western_red_colobus	flightless		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	Piliocolobus-badius_RC2036_ACTGAT_L003_001_filtered_r1r2interleaved
western_red_colobus.2	11212.RC2068	11212	Cercopithecus-ascanius_RC2068_ATCACG_L004_001_filtered_r1r2combined.fastq.gz	35599844	35587744	7.551300457999999	8	Chordata	Mammalia	Cercopithecidae	Cercopithecus	Metazoa	Primates	Cercopithecus_ascanius	Cercopithecus mona	Cercopithecus_ascanius	western_red_colobus	flightless			Uganda	Rainforest	stool	omnivore	omnivore	wild	Cercopithecus-ascanius_RC2068_ATCACG_L004_001_filtered_r1r2interleaved
western_red_colobus.3	11212.RC2071	11212	Piliocolobus-badius_RC2071_ATTCCT_L003_001_filtered_r1r2combined.fastq.gz	21182170	21108870	7.324464985	7	Chordata	Mammalia	Cercopithecidae	Piliocolobus	Metazoa	Primates	Piliocolobus_badius	Piliocolobus_tephrosceles	Piliocolobus_badius	western_red_colobus	flightless		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	Piliocolobus-badius_RC2071_ATTCCT_L003_001_filtered_r1r2interleaved
western_red_colobus.4	11212.RC2096	11212	Piliocolobus-badius_RC2096_CGATGT_L004_001_filtered_r1r2combined.fastq.gz	13281708	13264464	7.122689705	7	Chordata	Mammalia	Cercopithecidae	Piliocolobus	Metazoa	Primates	Piliocolobus_badius	Piliocolobus_tephrosceles	Piliocolobus_badius	western_red_colobus	flightless		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	Piliocolobus-badius_RC2096_CGATGT_L004_001_filtered_r1r2interleaved
western_red_colobus.5	11212.RC2098	11212	Piliocolobus-badius_RC2098_TTAGGC_L004_001_filtered_r1r2combined.fastq.gz	15754714	15708940	7.196146881000001	7	Chordata	Mammalia	Cercopithecidae	Piliocolobus	Metazoa	Primates	Piliocolobus_badius	Piliocolobus_tephrosceles	Piliocolobus_badius	western_red_colobus	flightless		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	Piliocolobus-badius_RC2098_TTAGGC_L004_001_filtered_r1r2interleaved
white_sifaka.1	11212.PVAbb	11212	Propithecus-verreauxi_PVAbb_GTGGCC_L004_001_filtered_r1r2combined.fastq.gz	11202974	11180270	7.048452292	7	Chordata	Mammalia	Indriidae	Propithecus	Metazoa	Primates	Propithecus_verreauxi	Propithecus_coquereli	Propithecus_verreauxi	white_sifaka	flightless		Folivore	Madagascar	DryForest	stool	folivore	herbivore	wild	Propithecus-verreauxi_PVAbb_GTGGCC_L004_001_filtered_r1r2interleaved
white_sifaka.2	11212.PVLou	11212	Pan-troglodytes_PVLou_GTTTCG_L004_001_filtered_r1r2combined.fastq.gz	12780036	12777990	7.106462543999999	7	Chordata	Mammalia	Indriidae	Propithecus	Metazoa	Primates	Propithecus_verreauxi	Propithecus_coquereli	Propithecus_verreauxi	white_sifaka	flightless		Folivore	Madagascar	DryForest	stool	folivore	herbivore	wild	Pan-troglodytes_PVLou_GTTTCG_L004_001_filtered_r1r2interleaved
white_sifaka.3	11212.PVPam	11212	Pan-troglodytes_PVPam_CGTACG_L004_001_filtered_r1r2combined.fastq.gz	9731818	9729944	6.9881103410000005	7	Chordata	Mammalia	Indriidae	Propithecus	Metazoa	Primates	Propithecus_verreauxi	Propithecus_coquereli	Propithecus_verreauxi	white_sifaka	flightless		Folivore	Madagascar	DryForest	stool	folivore	herbivore	wild	Pan-troglodytes_PVPam_CGTACG_L004_001_filtered_r1r2interleaved
white_sifaka.4	11212.PVPet	11212	Pan-troglodytes_PVPet_GAGTGG_L004_001_filtered_r1r2combined.fastq.gz	9613110	9611862	6.982807527	7	Chordata	Mammalia	Indriidae	Propithecus	Metazoa	Primates	Propithecus_verreauxi	Propithecus_coquereli	Propithecus_verreauxi	white_sifaka	flightless		Folivore	Madagascar	DryForest	stool	folivore	herbivore	wild	Pan-troglodytes_PVPet_GAGTGG_L004_001_filtered_r1r2interleaved
white_sifaka.5	11212.PVQui	11212	Pan-troglodytes_PVQui_ACTGAT_L004_001_filtered_r1r2combined.fastq.gz	12975422	12973510	7.113057491	7	Chordata	Mammalia	Indriidae	Propithecus	Metazoa	Primates	Propithecus_verreauxi	Propithecus_coquereli	Propithecus_verreauxi	white_sifaka	flightless		Folivore	Madagascar	DryForest	stool	folivore	herbivore	wild	Pan-troglodytes_PVQui_ACTGAT_L004_001_filtered_r1r2interleaved
white-bellied_spider_monkey.1	11212.AtbelzLink1	11212	Ateles-belzebuth_AtbelzLink1_CGATGT_L002_001_filtered_r1r2combined.fastq.gz	21018878	19723536	7.294984777000001	7	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles_belzebuth	Ateles_geoffroyi	Ateles_belzebuth	white-bellied_spider_monkey	flightless			Ecuador	Rainforest	stool	frugivore	herbivore	wild	Ateles-belzebuth_AtbelzLink1_CGATGT_L002_001_filtered_r1r2interleaved
white-bellied_spider_monkey.2	11212.AtbelzLink2	11212	Ateles-belzebuth_AtbelzLink2_TTAGGC_L002_001_filtered_r1r2combined.fastq.gz	12762434	12032286	7.080348146	7	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles_belzebuth	Ateles_geoffroyi	Ateles_belzebuth	white-bellied_spider_monkey	flightless			Ecuador	Rainforest	stool	frugivore	herbivore	wild	Ateles-belzebuth_AtbelzLink2_TTAGGC_L002_001_filtered_r1r2interleaved
white-bellied_spider_monkey.3	11212.AtbelzLink3	11212	Ateles-belzebuth_AtbelzLink3_TGACCA_L002_001_filtered_r1r2combined.fastq.gz	19836260	18512094	7.267455547000001	7	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles_belzebuth	Ateles_geoffroyi	Ateles_belzebuth	white-bellied_spider_monkey	flightless			Ecuador	Rainforest	stool	frugivore	herbivore	wild	Ateles-belzebuth_AtbelzLink3_TGACCA_L002_001_filtered_r1r2interleaved
white-bellied_spider_monkey.4	11212.AtbelzLink4	11212	Ateles-belzebuth_AtbelzLink4_ACAGTG_L002_001_filtered_r1r2combined.fastq.gz	14434314	14116372	7.149723095	7	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles_belzebuth	Ateles_geoffroyi	Ateles_belzebuth	white-bellied_spider_monkey	flightless			Ecuador	Rainforest	stool	frugivore	herbivore	wild	Ateles-belzebuth_AtbelzLink4_ACAGTG_L002_001_filtered_r1r2interleaved
white-bellied_spider_monkey.5	11212.AtbelzLink5	11212	Ateles-belzebuth_AtbelzLink5_GCCAAT_L002_001_filtered_r1r2combined.fastq.gz	9356600	8642862	6.936657578999999	7	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles_belzebuth	Ateles_geoffroyi	Ateles_belzebuth	white-bellied_spider_monkey	flightless			Ecuador	Rainforest	stool	frugivore	herbivore	wild	Ateles-belzebuth_AtbelzLink5_GCCAAT_L002_001_filtered_r1r2interleaved
fin_whale.1	13114.girguis.50.s001	13114	Balaenoptera-physalus_Girguis50_FinBP1_host_filtered_r1r2combined.fastq.gz	25805216	25690346	7.409769953	7	Chordata	Mammalia	Balaenopteridae	Balaenoptera	Metazoa	Artiodactyla	Balaenoptera_physalus	Balaenoptera_physalus	Balaenoptera_physalus	Fin_Whale	flightless	marine	carnivore	USA			filter_feeder	carnivore	wild	Balaenoptera-physalus_Girguis50_FinBP1_filtered_r1r2interleaved
fin_whale.2	13114.girguis.50.s002	13114	Balaenoptera-physalus_Girguis50_FinBP2_host_filtered_r1r2combined.fastq.gz	26189076	25997476	7.4149311860000005	7	Chordata	Mammalia	Balaenopteridae	Balaenoptera	Metazoa	Artiodactyla	Balaenoptera_physalus	Balaenoptera_physalus	Balaenoptera_physalus	Fin_Whale	flightless	marine	carnivore	USA			filter_feeder	carnivore	wild	Balaenoptera-physalus_Girguis50_FinBP2_filtered_r1r2interleaved
fin_whale.3	13114.girguis.50.s003	13114	Balaenoptera-physalus_Girguis50_FinBP3_host_filtered_r1r2combined.fastq.gz	9485660	8666152	6.937826302	7	Chordata	Mammalia	Balaenopteridae	Balaenoptera	Metazoa	Artiodactyla	Balaenoptera_physalus	Balaenoptera_physalus	Balaenoptera_physalus	Fin_Whale	flightless	marine	carnivore	USA			filter_feeder	carnivore	wild	Balaenoptera-physalus_Girguis50_FinBP3_filtered_r1r2interleaved
fin_whale.4	13114.girguis.50.s004	13114	Balaenoptera-physalus_Girguis50_FinBP4_host_filtered_r1r2combined.fastq.gz	6006446	5274692	6.722197105	7	Chordata	Mammalia	Balaenopteridae	Balaenoptera	Metazoa	Artiodactyla	Balaenoptera_physalus	Balaenoptera_physalus	Balaenoptera_physalus	Fin_Whale	flightless	marine	carnivore	USA			filter_feeder	carnivore	wild	Balaenoptera-physalus_Girguis50_FinBP4_filtered_r1r2interleaved
humpback_whale.1	13114.girguis.50.s005	13114	Megaptera-novaeangliae_Girguis50_HumpbackAK1_host_filtered_r1r2combined.fastq.gz	25959438	25955238	7.4142250160000005	7	Chordata	Mammalia	Balaenopteridae	Megaptera	Metazoa	Artiodactyla	Megaptera_novaeangliae	Megaptera_novaeangliae	Megaptera_novaeangliae	Humpback_Whale	flightless	marine	carnivore	USA			filter_feeder	carnivore	wild	Megaptera-novaeangliae_Girguis50_HumpbackAK1_filtered_r1r2interleaved
humpback_whale.2	13114.girguis.50.s006	13114	Megaptera-novaeangliae_Girguis50_HumpbackAK2_host_filtered_r1r2combined.fastq.gz	2019474	2017368	6.304785128	6	Chordata	Mammalia	Balaenopteridae	Megaptera	Metazoa	Artiodactyla	Megaptera_novaeangliae	Megaptera_novaeangliae	Megaptera_novaeangliae	Humpback_Whale	flightless	marine	carnivore	USA			filter_feeder	carnivore	wild	Megaptera-novaeangliae_Girguis50_HumpbackAK2_filtered_r1r2interleaved
humpback_whale.3	13114.girguis.50.s007	13114	Megaptera-novaeangliae_Girguis50_HumpbackAK3_host_filtered_r1r2combined.fastq.gz	4384866	4223578	6.625680518999999	7	Chordata	Mammalia	Balaenopteridae	Megaptera	Metazoa	Artiodactyla	Megaptera_novaeangliae	Megaptera_novaeangliae	Megaptera_novaeangliae	Humpback_Whale	flightless	marine	carnivore	USA			filter_feeder	carnivore	wild	Megaptera-novaeangliae_Girguis50_HumpbackAK3_filtered_r1r2interleaved
humpback_whale.4	13114.girguis.50.s008	13114	Megaptera-novaeangliae_Girguis50_HumpbackAK4_host_filtered_r1r2combined.fastq.gz	22622244	22276404	7.347845086	7	Chordata	Mammalia	Balaenopteridae	Megaptera	Metazoa	Artiodactyla	Megaptera_novaeangliae	Megaptera_novaeangliae	Megaptera_novaeangliae	Humpback_Whale	flightless	marine	carnivore	USA			filter_feeder	carnivore	wild	Megaptera-novaeangliae_Girguis50_HumpbackAK4_filtered_r1r2interleaved
north_atlantic_right_whale.1	13114.girguis.50.s009	13114	Eubalaena-glacialis_Girguis50_RightEG3_host_filtered_r1r2combined.fastq.gz	21900760	21888734	7.3402206439999995	7	Chordata	Mammalia	Balaenidae	Eubalaena	Metazoa	Artiodactyla	Eubalaena_glacialis	Eubalaena_japonica	Eubalaena_glacialis	North_Atlantic_Right_Whale	flightless	marine	carnivore	Canada			filter_feeder	carnivore	wild	Eubalaena-glacialis_Girguis50_RightEG3_filtered_r1r2interleaved
north_atlantic_right_whale.2	13114.girguis.50.s010	13114	Eubalaena-glacialis_Girguis50_RightEG4_host_filtered_r1r2combined.fastq.gz	11556788	11547552	7.0624899270000006	7	Chordata	Mammalia	Balaenidae	Eubalaena	Metazoa	Artiodactyla	Eubalaena_glacialis	Eubalaena_japonica	Eubalaena_glacialis	North_Atlantic_Right_Whale	flightless	marine	carnivore	Canada			filter_feeder	carnivore	wild	Eubalaena-glacialis_Girguis50_RightEG4_filtered_r1r2interleaved
north_atlantic_right_whale.3	13114.girguis.50.s011	13114	Eubalaena-glacialis_Girguis50_RightEG5_host_filtered_r1r2combined.fastq.gz	8604250	8532742	6.931088614	7	Chordata	Mammalia	Balaenidae	Eubalaena	Metazoa	Artiodactyla	Eubalaena_glacialis	Eubalaena_japonica	Eubalaena_glacialis	North_Atlantic_Right_Whale	flightless	marine	carnivore	Canada			filter_feeder	carnivore	wild	Eubalaena-glacialis_Girguis50_RightEG5_filtered_r1r2interleaved
sei_whale.1	13114.girguis.50.s012	13114	Balaenoptera-borealis_Girguis50_SeiF18_host_filtered_r1r2combined.fastq.gz	19017362	18638342	7.270407276	7	Chordata	Mammalia	Balaenopteridae	Balaenoptera	Metazoa	Artiodactyla	Balaenoptera_borealis	Balaenoptera_acutorostrata_scammoni	Balaenoptera_borealis	Sei_Whale	flightless	marine	carnivore	Canada			filter_feeder	carnivore	wild	Balaenoptera-borealis_Girguis50_SeiF18_filtered_r1r2interleaved
chicken.1	13114.minich.76.s001	13114	Gallus-gallus_Minich76_BM_host_filtered_r1r2combined.fastq.gz	25318810	25317600	7.403422534	7	Chordata	Aves	Phasianidae	Gallus	Metazoa	Galliformes	Gallus_gallus	Gallus_gallus	Gallus_gallus	chicken	flightless	terrestrial,flightless	omnivore	Malawi			insectivore	carnivore	captive	Gallus-gallus_Minich76_BM_filtered_r1r2interleaved
cattle.1	13114.minich.76.s002	13114	Bos-taurus_Minich76_CM_host_filtered_r1r2combined.fastq.gz	37088366	37087396	7.569226341	8	Chordata	Mammalia	Bovidae	Bos	Metazoa	Artiodactyla	Bos_taurus	Bos_taurus	Bos_taurus	cattle	flightless	terrestrial,flightless	herbivore	Malawi			herbivore	herbivore	captive	Bos-taurus_Minich76_CM_filtered_r1r2interleaved
helmeted_guineafowl.1	13114.minich.76.s003	13114	Numida-meleagris_Minich76_GM_host_filtered_r1r2combined.fastq.gz	25466352	25465244	7.405947842000001	7	Chordata	Aves	Numididae	Numida	Metazoa	Galliformes	Numida_meleagris	Numida_meleagris	Numida_meleagris	helmeted_guineafowl	flightless	terrestrial,flightless	omnivore	Malawi			herbivore	herbivore	captive	Numida-meleagris_Minich76_GM_filtered_r1r2interleaved
chicken.2	13114.minich.76.s004	13114	Gallus-gallus_Minich76_LM_host_filtered_r1r2combined.fastq.gz	7277224	7244872	6.860030717000001	7	Chordata	Aves	Phasianidae	Gallus	Metazoa	Galliformes	Gallus_gallus	Gallus_gallus	Gallus_gallus	chicken	flightless	terrestrial,flightless	omnivore	Malawi			insectivore	carnivore	captive	Gallus-gallus_Minich76_LM_filtered_r1r2interleaved
pig.1	13114.minich.76.s005	13114	Sus-scrofa_Minich76_PM_host_filtered_r1r2combined.fastq.gz	24866398	24865776	7.395602017000001	7	Chordata	Mammalia	Suidae	Sus	Metazoa	Artiodactyla	Sus_scrofa	Sus_scrofa	Sus_scrofa	pig	flightless	terrestrial,flightless	omnivore	Malawi			omnivore_insectivore	omnivore	captive	Sus-scrofa_Minich76_PM_filtered_r1r2interleaved
common_nase.2	13114.minich.76.s006	13114	Coturnix-coturnix_Minich76_QM_host_filtered_r1r2combined.fastq.gz	20508622	15480404	7.18978229	7	Chordata	Aves	Phasianidae	Coturnix	Metazoa	Galliformes	Coturnix_coturnix	Coturnix_japonica	Coturnix_coturnix	common_quail	flighted	terrestrial,flight	herbivore/insectivore	Malawi			omnivore	omnivore	captive	Coturnix-coturnix_Minich76_QM_filtered_r1r2interleaved
bank_vole.11	13114.mousseau.88.s001	13114	Myodes-glareolus_Mousseau88_FIN_17_host_filtered_r1r2combined.fastq.gz	14834806	14228550	7.153160644	7	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_17_filtered_r1r2interleaved
bank_vole.13	13114.mousseau.88.s002	13114	Myodes-glareolus_Mousseau88_FIN_18_host_filtered_r1r2combined.fastq.gz	3967592	3290154	6.517216226	7	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_18_filtered_r1r2interleaved
bank_vole.15	13114.mousseau.88.s003	13114	Myodes-glareolus_Mousseau88_FIN_22_host_filtered_r1r2combined.fastq.gz	8270530	8002734	6.9032383820000005	7	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_22_filtered_r1r2interleaved
bank_vole.19	13114.mousseau.88.s004	13114	Myodes-glareolus_Mousseau88_FIN_24_host_filtered_r1r2combined.fastq.gz	137980	124570	5.095413464	5	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_24_filtered_r1r2interleaved
bank_vole.25	13114.mousseau.88.s005	13114	Myodes-glareolus_Mousseau88_FIN_27_host_filtered_r1r2combined.fastq.gz	10749738	10565976	7.02390962	7	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_27_filtered_r1r2interleaved
bank_vole.29	13114.mousseau.88.s006	13114	Myodes-glareolus_Mousseau88_FIN_29_host_filtered_r1r2combined.fastq.gz	6724040	6663378	6.823694451000001	7	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_29_filtered_r1r2interleaved
bank_vole.33	13114.mousseau.88.s007	13114	Myodes-glareolus_Mousseau88_FIN_30_host_filtered_r1r2combined.fastq.gz	4276714	3574860	6.553259037999999	7	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_30_filtered_r1r2interleaved
bank_vole.34	13114.mousseau.88.s008	13114	Myodes-glareolus_Mousseau88_FIN_31_host_filtered_r1r2combined.fastq.gz	12141458	11434820	7.058229333	7	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_31_filtered_r1r2interleaved
bank_vole.38	13114.mousseau.88.s009	13114	Myodes-glareolus_Mousseau88_FIN_33_host_filtered_r1r2combined.fastq.gz	7765648	3550612	6.550303217000001	7	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_33_filtered_r1r2interleaved
bank_vole.49	13114.mousseau.88.s010	13114	Myodes-glareolus_Mousseau88_FIN_45_host_filtered_r1r2combined.fastq.gz	2776712	2706220	6.432363099	6	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_45_filtered_r1r2interleaved
bank_vole.51	13114.mousseau.88.s011	13114	Myodes-glareolus_Mousseau88_FIN_50_host_filtered_r1r2combined.fastq.gz	99752828	99683498	7.998623268999999	8	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_50_filtered_r1r2interleaved
bank_vole.53	13114.mousseau.88.s012	13114	Myodes-glareolus_Mousseau88_FIN_52_host_filtered_r1r2combined.fastq.gz	351536	319236	5.50411186	6	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_52_filtered_r1r2interleaved
bank_vole.55	13114.mousseau.88.s013	13114	Myodes-glareolus_Mousseau88_FIN_55_host_filtered_r1r2combined.fastq.gz	266728	176684	5.247197223	5	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_55_filtered_r1r2interleaved
bank_vole.56	13114.mousseau.88.s014	13114	Myodes-glareolus_Mousseau88_FIN_59_host_filtered_r1r2combined.fastq.gz	11363162	9431024	6.97455885	7	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_59_filtered_r1r2interleaved
bank_vole.57	13114.mousseau.88.s015	13114	Myodes-glareolus_Mousseau88_FIN_63_host_filtered_r1r2combined.fastq.gz	178766	149446	5.174484295	5	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_63_filtered_r1r2interleaved
bank_vole.58	13114.mousseau.88.s016	13114	Myodes-glareolus_Mousseau88_FIN_68_host_filtered_r1r2combined.fastq.gz	117143816	115749298	8.063518366	8	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes_glareolus	Myodes_glareolus	Myodes_glareolus	bank_vole	flightless	terrestrial,flightless	herbivore/insectivore	Ukraine			herbivore	herbivore	wild	Myodes-glareolus_Mousseau88_FIN_68_filtered_r1r2interleaved
